In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2019-04-29 00:06:00,2019-04-29 12:50:00,12:44,6:43,6:01,--,3:09,0:43,69,--,--
2019-04-29 23:17:00,2019-04-30 17:00:00,17:43,12:11,5:32,--,6:44,1:14,71,--,--
2019-04-30 20:57:00,2019-05-01 02:42:00,5:45,3:19,2:26,--,1:24,0:14,74,--,--
2019-05-03 23:00:00,2019-05-04 05:16:00,8:09,5:19,2:50,--,3:12,1:44,71,--,--
2019-05-05 00:26:00,2019-05-05 07:48:00,7:22,5:19,2:03,--,2:45,0:13,70,--,--
2019-05-06 02:50:00,2019-05-06 11:44:00,8:54,2:49,6:05,--,1:29,--,82,--,--
2019-05-06 23:25:00,2019-05-07 07:04:00,7:39,6:25,1:14,--,3:49,1:32,68,--,--
2019-05-08 23:36:00,2019-05-09 07:17:00,7:41,5:49,1:52,--,3:28,1:00,72,--,--
2019-05-12 00:12:00,2019-05-12 06:28:00,10:15,7:36,2:39,--,4:17,1:21,76,--,--
2019-05-13 21:49:00,2019-05-14 12:32:00,14:43,10:29,4:14,--,6:11,2:26,69,--,--
2019-05-15 00:36:00,2019-05-15 07:17:00,6:41,4:46,1:55,--,2:37,0:57,65,--,--
2019-05-15 22:03:00,2019-05-16 06:14:00,8:11,5:23,2:48,--,3:03,--,84,--,--
2019-05-16 21:46:00,2019-05-17 03:43:00,5:57,4:44,1:13,--,2:54,--,80,--,--
2019-05-18 00:38:00,2019-05-18 16:25:00,15:47,8:34,7:13,--,5:18,2:20,73,--,--
2019-05-18 20:00:00,2019-05-19 15:06:00,19:06,9:14,9:52,--,5:35,1:14,73,--,--
2019-05-19 21:30:00,2019-05-20 13:04:00,15:34,7:08,8:26,--,3:40,1:20,71,--,--
2019-05-20 21:29:00,2019-05-21 10:17:00,12:48,6:21,6:27,--,2:50,0:14,74,--,--
2019-05-21 22:15:00,2019-05-22 09:02:00,11:19,5:32,5:47,--,2:46,1:05,62,--,--
2019-05-22 22:13:00,2019-05-23 17:03:00,18:50,10:59,7:51,--,4:51,0:27,62,--,--
